"S.No","Question Number","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"1","In 2019, how many motor vehicle crashes took place in the United States?","14.2 million","4.5 million","36,500","None of the above","1","Section 1.1, A, “United States National Data on Traffic Crash Injuries and Fatalities” states, “14.2 million motor vehicle crashes took place in 2019, causing 4.5 million injuries and 36,500 fatalities.”"
"12.","Traffic crashes have enormous economic consequences in the United States.","True","False","","","1","Section 1.1, A, “United States National Data on Traffic Crash Injuries and Fatalities” states, “Traffic crashes also have enormous economic consequences. In 2019 alone, motor vehicle crashes cost the United States $339.8 billion.”"
"13.","In 2020, Florida car crashes resulted in 196,818 other (non-incapacitating) injuries.","True","False","","","1","Section 1.1, B, “Florida-Specific Data on Traffic Crash Injuries and Fatalities” states, “The 341,399 car crashes that took place in Florida in 2020 resulted in a total of . . . 196,818 other (non-incapacitating) injuries.”"
"14.","A violation of the requirement to remain at the scene of a crash involving vehicle or property damage in Florida is a first-degree misdemeanor.","True","False","","","2","Section 1.1, C, ii, “Crashes Involving Vehicle or Property Damage” states, “In Florida, a violation of this requirement constitutes a second-degree misdemeanor.”"
"15.","The FLHSMV's Florida Crash Dashboard provides data only for 2020.","True","False","","","2","Section 1.1, B, “Florida-Specific Data on Traffic Crash Injuries and Fatalities” states,“For those who are curious about a specific year or interested in searching for trends over a certain period, a helpful and easy-to-use reference is FLHSMV's Florida Crash Dashboard.”"
"16.","Driving under the influence is a significant contributor to traffic accidents.","True","False","","","1","Section 1.2, “Contribution of DUI and Other Hazardous Acts to Traffic Crashes (Quantified)” states, “Driving under the influence (DUI) of alcohol and other legal and illegal drugs significantly contributes to traffic accidents.”"
"17.","Which of the following are some of the potential legal consequences for driving under the influence in Florida?","A fine of $500 to $1,000 for a first conviction","Imprisonment for up to 6 months for a first conviction","For a second conviction, mandatory placement of an ignition interlock device","All of the above","4","Section 1.2, C, “Legal Consequences for Driving Under the Influence” states, “Consequences for driving under the influence may include: A fine of $500 to $1,000 for a first conviction . . . Imprisonment for up to 6 months for a first conviction . . . [Or] [f]or a second conviction, once the convicted person is back on the road with a valid driver’s license, at least one year of ‘mandatory placement . . . of an ignition interlock device’ (which prevents the vehicle from starting until you provide a breath sample without detectable alcohol levels) on all vehicles that they lease/own and routinely drive.”"
"18.","What is the legal limit for blood-alcohol level (BAC) in Florida?","0.08 grams of alcohol per 100 milliliters of blood","0.10 grams of alcohol per 100 milliliters of blood","1.07 grams of alcohol per 100 milliliters of blood","","1","Section 1.2, C, “Legal Consequences for Driving Under the Influence” states, “For alcohol, the legal [limit is] a blood-alcohol level of 0.08 or more grams of alcohol per 100 milliliters of blood.”"
"19.","Driving under the influence is classified as a third-degree felony in Florida for a fourth or subsequent violation.","True","False","","","1","Section 1.2, C, “Legal Consequences for Driving Under the Influence” states, “Consequences for driving under the influence may include: . . . For a third violation within 10 years of a prior conviction or a fourth or subsequent violation (all of which are considered a third-degree felony), up to five years in prison or a fine of up to $5,000.”"
"20.","In Florida, you are considered to be driving under the influence if you drive while affected by alcohol or other intoxicating drugs/chemicals to the point that it impairs your normal faculties.","True","False","","","1","Section 1.2, C, “Legal Consequences for Driving Under the Influence” states, “According to Florida Statute 316.193, drivers are considered guilty of driving under the influence if they are driving while affected by alcohol or other intoxicating drugs and chemicals to the point that these substances impair their normal faculties.”"
"21.","How many people die in crashes involving alcohol-impaired drivers in the United States every year?","More than 5,000","More than 8,000","More than 10,000","","3","Section 1.2, A, “United States National Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “Every year, more than 10,000 people in the United States die in crashes involving alcohol-impaired drivers.”"
"22.","About what percentage of car accident-related fatalities are caused by drunk drivers in the United States?","30%","25%","15%","","1","Section 1.2, A, “United States National Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “Drunk drivers (those having a blood alcohol concentration (BAC) of at least .08 g/dL) are involved in roughly 30 percent of all car accident-related fatalities.”"
"23.","What is the national average of adults who report driving after drinking too much in the previous 30 days in the United States?","1.7%","2.0%","4.5%","","1","Section 1.2, B, “Florida-Specific Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “The national percentage of adults who report driving after drinking too much in the previous 30 days is 1.7 percent.”"
"24.","Florida's DUI prevalence is higher than the U.S. average.","True","False","","","1","Section 1.2, B, “Florida-Specific Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “Unfortunately, Florida residents are getting behind the wheel under the influence of alcohol at a higher rate than the U.S. average. While the national percentage of adults who report driving after drinking too much in the previous 30 days is 1.7 percent, 2 percent of Florida adults admit to this dangerous behavior.”"
"25.","In 2019, what was the total number of non-fatal injuries due to crashes caused by alcohol impairment in the United States?","378,000","120,000","750,000","","1","Section 1.2, A, “United States National Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “In 2019 alone, crashes caused by alcohol impairment led to 378,000 non-fatal injuries.”"
"26.","What was the total number of fatalities caused by speeding in 2019 in the United States?","10,192","13,921","561","","1","Section 1.2, A, “United States National Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “Another seriously harmful driving behavior, speeding, led to 498,000 injuries and 10,192 fatalities [in 2019].”"
"27.","How many people in Florida were killed due to a crash involving an alcohol-impaired driver from 2009 to 2018?","7,573","15,212","901","","1","Section 1.2, B, “Florida-Specific Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “From 2009 to 2018, 7,573 people in Florida were killed due to a crash involving an alcohol-impaired driver.”"
"28.","What percentage of car crash deaths in Florida can be attributed to impaired driving?","25%","35%","20%","","1","Section 1.2, B, “Florida-Specific Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “About a quarter of all car crash deaths in Florida can be attributed to impaired driving, including but not limited to alcohol impairment.”"
"29.","How many fatalities could have been avoided if everyone involved in car crashes had used seat belts in the United States from 1975 to 2019?","390,000","500,000","300,000","","1","Section 1.2, B, “Florida-Specific Data on Contribution of DUI and Other Hazardous Acts to Traffic Crashes” states, “From 1975 to 2019 . . . if everyone involved in car crashes had used seat belts, 390,000 fatalities and 7.1 million serious injuries could have been avoided.”"
"30.","Legal consequences for repeated DUIs can include fines, placement of an ignition interlock device, or imprisonment.","True","False","","","1","Section 1.2, C, “Legal Consequences for Driving Under the Influence” states, “Consequences for driving under the influence may include: A fine of $500 to $1,000 for a first conviction or $1,000 to $2,000 for a second conviction . . . Imprisonment for up to 6 months for a first conviction or up to 9 months for a second conviction . . . For a second conviction, once the convicted person is back on the road with a valid driver’s license, at least one year of ‘mandatory placement . . . of an ignition interlock device’ (which prevents the vehicle from starting until you provide a breath sample without detectable alcohol levels) on all vehicles that they lease/own and routinely drive . . . For a third violation within 10 years of a prior conviction or a fourth or subsequent violation (all of which are considered a third-degree felony), up to five years in prison or a fine of up to $5,000 . . . For a third violation more than 10 years after a prior conviction, a fine of $2,000 to $5,000 or imprisonment for up to 12 months.”"
"31.","What is the first collision during a car crash also called?","Vehicle collision","Human collision","Internal collision","None of the above","1","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “When you think of car crashes, you probably think of a vehicle crashing into another vehicle or object as a single, major event. But that’s only the first collision during a crash — the part commonly referred to as the ‘vehicle collision.’”"
"32.","What is the second collision during a car crash also called?","Vehicle collision","Human collision","Unsecured objects inside the vehicle","None of the above","2","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “The second collision involves the person and/or objects colliding within the vehicle — also called the ‘human collision.’”"
"33.","What is the law of inertia helpful in understanding?","Only the first collision","Only the second collision","The series of three collisions that happen during a car crash","None of the above","3","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “Newton’s second law, the law of inertia, is helpful in understanding the series of three collisions that occur during a car crash.”"
"34.","Wearing a seat belt is essential for safety.","True","False","","","1","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “Because an object in motion will stay in motion until an outside force acts on it, unsecured objects inside the vehicle will continue to move until they hit something, which causes the second collision. This includes your body if you are not wearing a seat belt — which is why wearing a seat belt is essential for safety.”"
"35.","What is the most serious potential outcome of the third collision during a car crash?","No injuries","Minor injuries","Severe internal injuries","","3","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “During the third collision . . . passengers’ internal organs continue moving at whatever speed the car and its occupants were moving before the collision until the organs hit their body frames, other organs, or the skeletal system. This can lead to severe internal injuries.”"
"36.","What is Newton's First Law of Motion?","An object at rest will remain at rest unless acted upon by a force.","Force equals mass times acceleration.","When two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction.","","1","Section 2.1, A, i, “Newton’s First Law: The Law of Inertia” states, “Newton’s first law states that an object at rest will remain at rest, and an object moving at a constant speed in a straight line will continue doing so indefinitely unless a force acts upon the object.”"
"37.","What is the relationship between speed and the severity of a car crash?","Speed is not related to the severity of a car crash.","Speed is a highly significant factor in the severity of a car crash.","Speed is a somewhat significant factor in the severity of a car crash.","","2","Section 2.1, A, “Explaining Speed and Impact Severity in Terms of Newton’s Three Laws of Motion” states, “Speed is a highly significant factor in the severity of car crashes — as you might have guessed, the faster your car is moving at the time of a collision, the more serious the accident is likely to be.”"
"38.","What is the relationship between mass and the force of a car crash?","The force of a car crash is independent of mass.","The force of a car crash decreases if the mass of the car increases.","The force of a car crash increases if the mass of the car increases.","","3","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “Newton's second law also means that if a larger car (a car with greater mass) crashes, it generates more force and damage than a smaller car moving at the same speed.”"
"39.","What happens to the passengers in a car crash according to Newton's First Law?","Passengers will continue to move unless a force stops them.","Passengers will stop moving immediately.","Passengers will move in a straight line indefinitely.","","1","Section 2.1, A, i, “Newton’s First Law: The Law of Inertia” states, “In a car crash . . . passengers will continue to move unless they’re stopped by something, whether that’s a seat belt, the seat in front of them (if seated in the backseat), the dashboard, etc.”"
"40.","What is Newton's Third Law of Motion?","An object at rest will remain at rest unless acted upon by a force.","Force equals mass times acceleration.","When two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction.","","3","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “According to Newton’s third law, when two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction.”"
"41.","How does the speed of a car affect the amount of force it exerts on an object in a collision according to Newton's Third Law?","The speed of a car has no effect on the amount of force it exerts on an object in a collision according to Newton's Third Law.","The slower the car, the more force it exerts on an object in a collision.","The faster the car, the more force it exerts on an object in a collision.","","3","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “Newton’s third law states that the amount of force the car exerts onto the wall when crashing into it is equal to the amount of force that the wall exerts back onto the car. This means that the faster the car is going, the more the car and its passengers will be damaged by the impact.”"
"42.","Is slowing your driving speed likely to make car accidents less severe according to the text?","No, slowing your driving speed is not likely to make car accidents less severe.","The text does not mention the effect of slowing driving speed on car accidents.","Yes, slowing your driving speed is likely to make car accidents less severe.","","3","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “Slowing your driving speed can lower the likelihood of an accident and make accidents less severe — and, most importantly, less likely to cause serious injury or death.”"
"43.","The chance of a fatality increases by 4 percent for every 1 percent increase in driving speed.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Every 1 percent increase in driving speed increases a driver’s chance of an accident by 2 percent, the chance of a serious injury by 3 percent, and the chance of a fatality by about 4 percent.”"
"44.","Newton’s Second Law is expressed mathematically as F = ma (“force equals mass times acceleration”).","True","False","","","F ","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “Newton’s second law states that when a force acts upon an object, the object’s acceleration depends on the amount of force being applied and the mass of the object being acted upon.This is expressed mathematically as(‘force equals mass times acceleration’).”"
"45.","Speeding contributes to more injuries than we can track in the U.S.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Speeding contributes to almost 10,000 deaths annually in the U.S. and more injuries than we can track.”"
"46.","According to Newton's Second Law of Motion, the force of a car crash increases if the speed of acceleration increases.","True","False","","","1","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “The force of a car crash is equal to the mass multiplied by acceleration. Therefore, the force of a car crash increases if the speed of acceleration increases.”"
"47.","It causes less damage if a larger car crashes than if a smaller car moving at the same speed crashes.","True","False","","","2","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “Newton's second law also means that if a larger car (a car with greater mass) crashes, it generates more force and damage than a smaller car moving at the same speed.”"
"48.","Newton's Third Law of Motion states that for every action (force) in nature, there is an equal and opposite reaction.","True","False","","","1","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “According to Newton’s third law, when two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction. This means that ‘for every action (force) in nature, there is an equal and opposite reaction.’”"
"49.","If you are involved in a collision on level ground at a speed of 65 mph, the force of impact is roughly equivalent to driving your car off of the roof of a 12-story building and hitting the ground.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “The force of impact of a collision on level ground at 65 miles per hour is about the same as if you drove your car off the roof of a 12-story building and hit the ground.”"
"50.","Every 1 percent increase in driving speed increases the chance of a serious injury by 1 percent.","True","False","","","2","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “According to a study from the University of California Berkeley, every 1 percent increase in driving speed increases a driver’s chance of . . . a serious injury by 3 percent.”"
"51.","Increasing their driving speed from 60 to 80 miles per hour makes a driver four times more likely to get into a fatal car crash.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Increasing your driving speed from 60 to 80 miles per hour makes you four times more likely to get into a fatal car crash.”"
"52.","Every 10-mph increase in driving speed doubles one’s risk of dying in a car crash.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Every 10-mph increase in driving speed doubles one’s risk of dying in a car crash.”"
"53.","The likelihood of a pedestrian being killed by a collision is 75 percent at 50 miles per hour.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “The likelihood of a pedestrian being killed by a collision is only 10 percent at 23 miles per hour, but 75 percent at 50 miles per hour.”"
"54.","It is 31 percent riskier to drive at a speed of 80 mph when surrounding traffic is going 70 mph.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “It’s especially dangerous to speed faster than surrounding traffic. If you’re driving 80 miles per hour and surrounding traffic is going 70 miles per hour, you increase your risk of a crash by 31 percent.”"
"55.","What is the most common injury caused by rear-end collisions?","Fractured bones","Whiplash","Bruising","","2","Section 2.3, A, i, “Rear Collision” states, “The most common injury caused by rear-end collisions [is] whiplash, an injury to the neck and occasionally the brain, which occurs when the head is thrown backward suddenly.”"
"56.","To reduce the force of a rear-end collision, you should brake immediately.","True","False","","","2","Section 2.3, A, i, “Rear Collision” states, “If you are about to be rear-ended, . . . [and] you’re driving forward, don’t brake immediately; try braking gradually or after the impact. This will reduce the force acting on your body because you and the vehicle hitting yours will be moving in the same direction during the impact.”"
"57.","What can you do to prevent whiplash from a rear-end collision if you are already at a stop?","Turn your head away from the impact","Plant your foot on the brake and head against the headrest","Duck under the dashboard","None of the above","2","Section 2.3, A, i, “Rear Collision” states, “If you are about to be rear-ended . . . [and] you’re already at a stop (parked or stopped at a light), plant your foot on the brake and your head against the headrest.”"
"58.","What is the most common location for side collisions to occur?","On the highway","At intersections","In a parking lot","On a rural road","2","Section 2.3, A, ii, “Side Collision” states, “Side collisions happen most often at intersections.”"
"59.","To reduce injury in a side collision, you should steer your car so it is hit from the side closest to the driver.","True","False","","","2","Section 2.3, A, ii, “Side Collision” states, “Try to steer your car so it is hit from the rear or another area where there are no passengers. Although your car will probably still be damaged, this strategy can help reduce injuries to passengers and yourself.”"
"60.","How can you brace yourself in a side collision?","Turn your body away from the impact","Use the steering wheel to brace yourself","Put your arms over your head","None of the above","2","Section 2.3, A, ii, “Side Collision” states, “Use the steering wheel to brace yourself. You now know that Newton’s first law (the law of inertia) means a side collision will send your body sideways. Bracing against the steering wheel can lessen this effect.”"
"61.","What should you do if you are about to have a head-on collision?","Freeze up and do nothing","Slow down immediately and do your best to turn your car toward the right","Turn your car toward the left","None of the above","2","Section 2.3, A, iii, “Head-on Collision” states, “If there’s a vehicle driving directly toward you, slow down immediately. As you know, accidents at higher speeds can cause more damage than at lower speeds. Do your best to turn your car toward the right if doing so is possible and relatively safe.”"
"62.","Head-on collisions are more likely to cause facial injuries than other types of collisions.","True","False","","","1","Section 2.3, A, iii, “Head-on Collision” states, “Head-on collisions are more likely to cause facial injuries due to broken glass from the windshield.”"
"63.","What can help prevent facial injuries in a head-on collision?","Airbags","Seat belts","Both airbags and seat belts","None of the above","3","Section 2.3, A, iii, “Head-on Collision” states, “Both airbags and seat belts can help prevent these kinds of facial injuries, so make sure to have them installed in your vehicle. One study showed that seat belts with shoulder straps reduced facial injuries by 18 percent and airbags by 43 percent. A combination of seat belts and airbags reduced the likelihood of severe facial injury by more than half.”"
"64.","Smaller and lighter vehicles protect their passengers more effectively than larger and heavier vehicles in crashes.","True","False","","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “In general, larger and heavier cars protect their own passengers from injury during crashes more effectively than smaller and lighter vehicles.”"
"65.","Why are larger vehicles safer than smaller vehicles in crashes?","They have longer front ends to absorb energy from frontal crashes","They are heavier and will continue to move forward in a crash with a smaller obstacle","They are lighter and will not continue to move forward in a crash with a smaller obstacle","Both A and B","4","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Larger vehicles have longer front ends (more space between the front of the vehicle and the occupant compartment), which leaves them with more space to crumple up and absorb energy from frontal crashes . . . Second, a heavier vehicle will most often continue to move forward in a crash with a lighter vehicle or smaller obstacles. This protects its passengers from exposure to more force that would otherwise cause injuries.”"
"66.","About what percentage of Americans admit to going more than 15 mph over the speed limit in the previous month?","10%","25%","50%","75%","3","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “About half of Americans admit to going more than 15 miles per hour over the speed limit in the previous month.”"
"67.","What percentage of passenger vehicle occupant deaths are due to frontal crashes?","Less than 50%","More than 50%","Less than 15%","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Frontal crashes ‘account for more than half of passenger vehicle occupant deaths.’”"
"68.","Vehicles of all sizes are less safe than they were a few decades ago.","True","False","","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Vehicles of all sizes are safer than they were a few decades ago, thanks to improvements in crash protection technology.”"
"69.","According to the IIHS, lighter vehicles are always at a disadvantage in collisions with heavier vehicles.","True","False","","","1","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Those riding in larger vehicles still have a safety advantage over those in smaller ones. The IIHS concludes that ‘a lighter vehicle will always be at a disadvantage in a collision with a heavier vehicle.’”"
"70.","Because automakers have lowered large cars' energy-absorbing structures, large cars like SUVs and pickup trucks are now more hazardous for drivers of smaller cars than they used to be.","True","False","","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Because automakers have lowered large cars’ energy-absorbing structures, large cars like SUVs and pickup trucks are less hazardous for drivers of smaller cars than they used to be.”"
"71.","By what percentage does every 1% increase in driving speed increase the chance of getting in an accident?","1%","2%","5%","10%","2","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Every 1 percent increase in driving speed increases a driver’s chance of an accident by 2 percent.”"
"72.","What is scanning as a driving skill?","Focusing only on the road ahead of you","Keeping track of everything ahead of and in the 360 degrees around your car","Focusing only on the sides and behind you","Focusing only on the road in front of you","2","Section 3.1, A, “Scanning for Hazards” states, “Scanning is an essential skill for drivers. It involves keeping track of everything ahead of you and in the 360 degrees surrounding your car.”"
"73.","How far ahead should you scan while driving?","2 to 5 seconds","10 to 15 seconds","30 seconds","1 minute","2","Section 3.1, A, “Scanning for Hazards” states,“Scan about 10 to 15 seconds ahead to give yourself time to react to any hazards.”"
"74.","Why is it important to check your surroundings when approaching a crosswalk, railroad crossing, or intersection?","To ensure other drivers will follow traffic laws","To see if other vehicles are slowing down","To see if other drivers will stop at a stop sign or red light","All of the above","4","Section 3.1, A, “Scanning for Hazards” states, “When you approach a crosswalk, railroad crossing, or intersection, always look left and right before continuing. Check even if other traffic has a stop sign or red light. There’s no guarantee that other drivers will follow traffic laws.”"
"75.","When is it especially important to check for vehicles and objects behind you while driving?","When changing lanes","When going in reverse","When slowing down","All of the above","4","Section 3.1, A, “Scanning for Hazards” states,“It’s especially critical to check for vehicles and objects in the following scenarios: When you are about to change lanes . . . When you’re going in reverse . . . [And] [w]hen you’re slowing down.”"
"76.","How often should you check your rear and side-view mirrors?","Every 10 to 15 seconds","Every 2 to 5 seconds","Every 30 seconds","Every minute","2","Section 3.1, A, “Scanning for Hazards” states, “Check your rear and side-view mirrors every two to five seconds to get a complete picture of your surroundings while driving.”"
"77.","If possible, what should you do if you need to navigate while driving?","Look at a map, phone, or GPS device","Let a passenger help you navigate","Drive with your eyes closed","Keep looking at your phone","2","Section 3.1, A, “Scanning for Hazards” states, “If a passenger is in your vehicle, let them help you navigate, so you do not become distracted by looking at a map, phone, or GPS device.”"
"78.","Aging-related vision loss is the reason why most adults are referred to optometrists.","True","False","","","1","Section 3.1, B, “Effects of Aging on Perceptual Ability” states, “A significant concern with aging-related vision loss is how it affects mature drivers on the road . . . It’s also why most adults get referred to an eye care specialist (optometrist) for sight testing and correction.”"
"79.","What is presbyopia?","A disease of the inner ear","A condition of the lens in the eye that causes visual clarity to dull over time","A condition affecting the rods in the retina","","2","Section 3.1, B, i, “Loss of Visual Clarity” states, “An inescapable side effect of aging is the loss of visual clarity over time. As you age, the lens in your eye begins to harden, causing the sharpness of your vision to dull . . . This is a naturally occurring condition known as presbyopia.”"
"80.","How can an eye doctor help with driving safety?","By tracking changes in visual clarity","By prescribing corrective lenses or updating existing prescriptions","By telling you to drive in the dark","Both A and B","4","Section 3.1, B, i, “Loss of Visual Clarity” states, “Regular visits to an eye doctor can help track changes in your visual clarity over time. The doctor may prescribe lenses to help refocus your eyes and aid driving. If you already have prescribed lenses, have yearly eye exams to update your prescription if needed.”"
"81.","What can you do to compensate for the loss of visual clarity while driving?","Avoiding driving in heavy rain, snow, or other adverse weather conditions","Stay an extra car length or two back from the vehicle ahead of you","Visit a vision specialist regularly to have your eyes checked","All of the above","4","Section 3.1, B, i, “Loss of Visual Clarity” states, “Some safe driving choices that can help compensate for the loss of visual clarity include:Visiting a vision specialist regularly to have your eyes checked. Not driving in heavy rain, snow, or other adverse weather conditions. [And] [s]taying an extra car length or two back from the vehicle ahead of you.”"
"82.","What happens to the rods in the retina as you age?","They become more sensitive to light and dark changes","They become less sensitive over time","They remain unchanged","They become stronger over time","2","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Part of the natural aging process is a decline of the rods in the retina that are sensitive to light and dark changes.“"
"83.","Peripheral vision declines as you age.","True","False","","","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “As you age, your peripheral field of vision slowly narrows between one and three degrees each decade.”"
"84.","By the time you reach 70 or 80, how much can peripheral vision narrow?","By up to 20-30 degrees","By up to 30-40 degrees","By up to 10-20 degrees","It does not narrow as you age","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “As you age, your peripheral field of vision slowly narrows between one and three degrees each decade, eventually narrowing by up to 20-30 degrees by the time you reach 70 or 80.”"
"85.","It is unsafe to spend too much time compensating for diminished peripheral vision by looking from side to side.","True","False","","","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Poor peripheral vision can become a safety issue if you spend too much time compensating by looking from side to side.”"
"86.","It’s especially important to check for vehicles and objects behind your car when driving down a long or steep hill.","True","False","","","1","Section 3.1, A, “Scanning for Hazards” states,“It’s especially critical to check for vehicles and objects . . . [w]hen you’re driving down a long or steep hill. When going down a steep decline, check for large vehicles behind you because they can pick up speed quickly.”"
"87.","It's important to scan the road ahead of the car and its surroundings only when approaching a crosswalk, railroad crossing, or intersection.","True","False","","","2","Section 3.1, A, “Scanning for Hazards” states, “As you drive, continuously scan the road ahead of and around your car.”"
