"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"469.","If you cannot move over for a specialized vehicle parked or operating on the roadside, what should you do?","You should stop your vehicle completely until it moves","You should maintain your speed and stay in your lane","You should slow down instead","","3","Section 7.4, A, ii, “What to Do if You See a Specialized Vehicle on the Roadside” states, “If it isn’t possible to safely move out of the lane closest to the specialized vehicle parked or operating on the roadside, you should slow down instead.”"
"470.","If you are driving a large vehicle and are stopped on a roadway or adjacent shoulder for more than 10 minutes, what should you do?","You should turn off all lights on the vehicle","You should use vehicular hazard warning signal lights","You should place a lighted green electric lantern at the traffic side of the vehicle","","2","Section 7.4, B, “Display of Warning Lights When a Large Vehicle is Stopped or Disabled” states, “If you are driving a ‘truck, bus, truck tractor, trailer, semitrailer, or pole trailer 80 inches or more in overall width or 30 feet or more in overall length’ and are stopped for more than 10 minutes on a roadway or an adjacent shoulder, you must use vehicular hazard warning signal lights.”"
"471.","Which of the following is not a requirement for employing warning devices when a large vehicle is stopped on a roadway or adjacent shoulder?","Placing a lighted fusee, lighted red electric lantern, or portable red emergency reflector at the traffic side of the vehicle","Placing three liquid-burning flares, lighted red electric lanterns, or portable red emergency reflectors on the roadway as soon as possible","Placing a portable white emergency reflector at the traffic side of the vehicle","","3","Section 7.4, B, “Display of Warning Lights When a Large Vehicle is Stopped or Disabled” states, “Florida statute 316.301 outlines the specific requirements for employing warning devices in this situation, which include the following: Immediately placing a lighted fusee, lighted red electric lantern, or portable red emergency reflector at the traffic side of the vehicle. As soon as possible and within the 15-minute burning period of the fusee, placing three liquid-burning flares, lighted red electric lanterns, or portable red emergency reflectors on the roadway.”"
"472.","Active firefighters are allowed to display red or red and white warning signals on their privately owned vehicle while en route to an emergency.","True","False","","","1","Section 7.4, C, “Use of Warning Lights on Privately Owned Vehicles by Firefighters and Medical Staff” states, “If you are an active firefighter en route to a fire or other emergency scene, you are allowed to display red or red and white warning signals on your privately owned vehicle.”"
"473.","Breaking the rules regarding the use of warning signals on a privately owned vehicle is a nonmoving violation.","True","False","","","1","Section 7.4, C, “Use of Warning Lights on Privately Owned Vehicles by Firefighters and Medical Staff” states, “Violating these requirements is considered a nonmoving violation.”"
"474.","If you see an emergency vehicle signaling, you should yield the right of way.","True","False","","","1","Section 7.4, A, i, “What to Do When an Emergency Vehicle Approaches While Signaling” states, “As outlined in Florida statute 316.126, if an emergency vehicle like a fire truck or ambulance is signaling (e.g., using their sirens with blue and/or red lights), all other vehicles should yield the right of way.”"
"475.","The Move Over Act requires you to move into the lane closest to specialized vehicles parked on the roadside.","True","False","","","2","Section 7.4, A, ii, “What to Do if You See a Specialized Vehicle on the Roadside” states, “According to Florida’s Move Over Act, if you see certain kinds of specialized vehicles parked or performing services on the roadside and are driving on a roadway with two or more lanes, you must move out of the lane closest to the vehicle if possible.”"
"476.","If you can't move out of the lane closest to a specialized vehicle parked on the roadside, you should speed up.","True","False","","","2","Section 7.4, A, ii, “What to Do if You See a Specialized Vehicle on the Roadside” states, “If it isn’t possible to safely move out of the lane closest to the specialized vehicle parked or operating on the roadside, you should slow down instead.”"
"477.","If you violate the Move Over law, you can receive a fine and points on your driving record.","True","False","","","1","Section 7.4, A, ii, “What to Do if You See a Specialized Vehicle on the Roadside” states, “If you violate this law, you have committed a noncriminal traffic infraction that is classified as a moving violation and may be punished with fees, a fine, and points on your driving record.”"
"478.","Large vehicles that are stopped or disabled for more than 10 minutes must use warning devices.","True","False","","","1","Section 7.4, B, “Display of Warning Lights When a Large Vehicle is Stopped or Disabled” states, “If you are driving a ‘truck, bus, truck tractor, trailer, semitrailer, or pole trailer 80 inches or more in overall width or 30 feet or more in overall length’ and are stopped for more than 10 minutes on a roadway or an adjacent shoulder, you must use vehicular hazard warning signal lights.”"
"479.","Failure to comply with lawful orders/directions from law enforcement officers at the scene of an emergency is a second-degree misdemeanor.","True","False","","","1","Section 7.4, D, “Requirement to Comply with Orders/Directions of Police and Fire Department Officials” states, “Failure or refusal to comply with such direction is a second-degree misdemeanor, punishable by up to 60 days in prison or a fine of up to $500.”"
"480.","Active volunteer firefighters who violate the requirements regarding the use of warning signals on their personal vehicle will not face any consequences.","True","False","","","2","Section 7.4, C, “Use of Warning Lights on Privately Owned Vehicles by Firefighters and Medical Staff” states, “Volunteer firefighters who violate these requirements will also face dismissal from membership in their firefighter organization.”"
"481.","Which of the following is NOT one of the vehicle parts required to meet Florida's safety standards?","Mirrors","Dashboard","Tires","Turn signals","2","Section 7.5, “Required Vehicle Safety Equipment” states, “These legally enforceable safety requirements address the function of specific parts of your car, including: Brakes. Windshields. Windows. Lights. Tires. Mirrors. Turn signals.”"
"482.","What is the minimum distance that low-beam headlamps must provide visibility for?","25 feet","150 feet","300 feet","500 feet","2","Section 7.5, C, “Lights” states, “To be safe to drive, your vehicle must have the following lights: Low-beam headlamps that provide visibility for 150 feet.”"
"483.","Which of the following is NOT allowed on windshields according to Florida law?","Electronic toll payment devices","GPS navigation systems","Reflective/mirrored materials that make the window non-transparent","Stickers for decorative purposes","4","Section 7.5, B, “Windshields and Windows” states, “Windshields cannot have anything on them except certificates required by law to display, transparent sun screening material that doesn’t obstruct the driver’s visibility, a device for electronic toll payments, or a GPS navigation system.”"
"484.","What is the minimum visible tread required on tires to meet Florida's safety standards?","1/5 of an inch","2/23 of an inch","1/10 of an inch","4/35 of an inch","2","Section 7.5, D, “Tires” states, “Your tires must have visible tread of a minimum of 2/23 of an inch at the base and no worn areas where the ply is showing through.”"
"485.","Which of the following is true regarding sun screening materials on car windows in Florida?","Side windows cannot be covered with reflective/mirrored materials that make the window non-transparent, with the exception of certain sun screening materials","Rear windows can be covered with reflective/mirrored materials that make the window non-transparent","Sun screening materials are not allowed on windshields in Florida","Sun screening materials are only allowed on car windows for medical reasons","1","Section 7.5, B, “Windshields and Windows” states, “Side windows cannot be covered with reflective/mirrored materials with ‘the effect of making the window non-transparent or which would alter the window’s color, increase its reflectivity, or reduce its light transmittance.’ The exception is sun screening materials, which are only allowed if they do not reflect more than 25 percent of the light that hits them.”"
"486.","What is the penalty for failing to maintain brakes on both sides of a vehicle to “operate as equally as practicable” in Florida?","A $50 fine","A $30 fine","A $100 fine","A warning from a police officer","2","Section 7.5, A, “Brakes” states, “Failing to adhere to this requirement in particular is a noncriminal traffic infraction and a nonmoving violation, which is typically punishable with a $30 fine.”"
"487.","Florida has specific statutes regarding keeping your vehicle in safe condition for driving.","True","False","","","1","Section 7.5, “Required Vehicle Safety Equipment” states, “Florida has a set of specific statutes geared toward keeping your vehicle in proper condition for driving."
"488.","Florida’s safety requirements address the function of specific parts of your car.","True","False","","","1","Section 7.5, “Required Vehicle Safety Equipment” states, “These legally enforceable safety requirements address the function of specific parts of your car.”"
"489.","Two braking systems are required in Florida vehicles.","True","False","","","1","Section 7.5, A, “Brakes” states, “The state of Florida requires that: Your vehicle has two braking systems.”"
"490.","Both of your vehicle’s braking systems must be able to stop your vehicle on their own.","True","False","","","1","Question “The state of Florida requires that: . . . Both braking systems can stop the vehicle on their own.” "
"491.","Florida requires vehicles to have a white light illuminating the license plate.","True","False","","","1","Section 7.5, C, “Lights” states, “To be safe to drive, your vehicle must have the following lights: . . . A white light illuminating the license plate so it can be seen from 50 feet away.”"
"492.","Police officers are legally authorized to stop and inspect a vehicle if they have reasonable cause to believe it might not adhere to safety equipment requirements.","True","False","","","1","Section 7.5, G, “General Requirement for Safety of Vehicle” states, “Suppose a police officer has ‘reasonable cause’ to believe that your vehicle might be unsafe or does not adhere to the above requirements. In that case, they are legally authorized to stop you and inspect your vehicle.”"
"493.","If the distance from the center of the top of the steering post to the left outside limit of the body of your vehicle exceeds 24 inches, or the distance from the center of the top of the steering post to the rear limit of the body exceeds 14 feet, your vehicle must have electronic turn signals and brake lights.","True","False","","","1","Section 7.5, F, “Turn Signals” states, “If, on your car, ‘the distance from the center of the top of the steering post to the left outside limit of the body, cab or load of such motor vehicle exceeds 24 inches’ or ‘the distance from the center of the top of the steering post to the rear limit of the body or load thereof exceeds 14 feet,’ it must have electronic turn signals and brake lights.”"
"494.","Which of the following legally entitles Florida drivers to use sun screening materials on their windshields that reflect more than 25 percent of the light that hits them?","The driver attests that the sun can give them a headache while driving","The driver has a condition, such as Lupus or another autoimmune disease, that causes increased light sensitivity, but does not carry a certificate of this medical exemption while driving","The driver has a condition that causes increased light sensitivity, and does carry a certificate of this medical exception while driving","The driver prefers the appearance of a sun screening material that happens to reflect more than 25 percent of the light that hits it","3","Section 7.5, B, “Windshields and Windows” states, “According to statute 316.29545, certain illnesses (e.g., Lupus, autoimmune diseases) that cause increased light sensitivity entitle those with them to use sun screening material on their windshields that would otherwise violate the requirements described above. They must carry a certificate of this medical exemption when driving.”"
"495.","Which of the following are requirements for windshields under Florida law?","That your car has well-maintained windshield wipers that can effectively remove moisture from the windshield","That the windshield is made of safety glass","That the windshield is in a fixed and upright position at all times","All of the above","4","Section 7.5, B, “Windshields and Windows” states, “Florida law mandates that your car has ‘a windshield in a fixed and upright position’ equipped with federally approved safety glazing . . . All windshields must have windshield wipers that are well-maintained and can effectively clean precipitation and moisture off the windshield. Windshields must be made of safety glass.”"
"496.","Which of the following are rules regarding the use of warning lights/signals on privately owned vehicles by firefighters and medical staff?","Such warning signals must be visible from both the front and rear of your vehicle.","You can only display up to two warning signals at a time.","There should be no inscriptions on the lens of the warning lights.","All of the above","4","Section 7.4, C, “Use of Warning Lights on Privately Owned Vehicles by Firefighters and Medical Staff” states, “Florida statute 316.2398 outlines specific rules regarding the use of these warning signals: They must be visible from the front and rear of your vehicle. You can only display a maximum of two warning signals. There can be no inscription of any kind across the lens of the warning signals.”"
"497.","If you see a specialized vehicle (e.g., an emergency vehicle or sanitation vehicle) parked or performing services on the roadside, and it is impossible to safely move out of the lane closest to that vehicle, what should you do instead?","Slow down to 20 mph below the speed limit, if the speed limit is 25 mph or greater","Slow down to 5 mph, if the speed limit is 20 mph or less","Keep driving at the posted speed limit and ignore the specialized vehicle","A and B","4","Section 7.4, A, ii, “What to Do if You See a Specialized Vehicle on the Roadside” states, “If it isn’t possible to safely move out of the lane closest to the specialized vehicle parked or operating on the roadside, you should slow down instead. The speed to which you are required to slow down depends on the posted speed limit where you are currently driving: If the speed limit is 25 mph or more, slow to a speed that is 20 mph below the speed limit. If the speed limit is 20 mph or less, slow to a speed of 5 mph.”"
"498.","Before going through a railroad crossing, which of the following vehicles are specifically required to stop within 50 feet but no less than 15 feet from the nearest rail of the railroad and listen/look for any sounds, signals, or indication of an approaching train to assess if they can safely proceed?","All vehicles","Vehicles carrying passengers for hire","School buses with schoolchildren inside","B and C","4","Section 7.3, B, ii, “Stopping at All Railroad Crossings” states, “[B]efore proceeding through a railroad crossing, certain kinds of vehicles are required to stop ‘within 50 feet but not less than 15 feet from the nearest rail of the railroad and, while so stopped, shall listen and look in both directions along the track for any approaching train, and for signals indicating the approach of a train . . . and shall not proceed until he or she can do so safely.’ Vehicles required to follow this law at all railroad crossings include: School buses carrying schoolchildren. Vehicles carrying passengers for hire.”"
"499.","Fluorescent yellow-green signs usually signify a high-emphasis warning for pedestrians, schools, or bicycling activity.","True","False","","","1","Section 7.2, A, i, “Traffic Sign Colors” states, “Fluorescent yellow-green signs: These signs serve as a high-emphasis warning for schools, pedestrians, or bicycling activity.”"
"500.","White and black signs are geared toward travelers and give information about food or lodging.","True","False","","","2","Section 7.2, A, i, “Traffic Sign Colors” states, “White and black signs: These signs communicate traffic regulations, such as speed limits, or give commands.”"
