"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"86.","It’s especially important to check for vehicles and objects behind your car when driving down a long or steep hill.","True","False","","","1","Section 3.1, A, “Scanning for Hazards” states,“It’s especially critical to check for vehicles and objects . . . [w]hen you’re driving down a long or steep hill. When going down a steep decline, check for large vehicles behind you because they can pick up speed quickly.” "
"87.","It's important to scan the road ahead of the car and its surroundings only when approaching a crosswalk, railroad crossing, or intersection.","True","False","","","2","Section 3.1, A, “Scanning for Hazards” states, “As you drive, continuously scan the road ahead of and around your car.”"
"88.","Drivers should check for vehicles and objects behind the car only when changing lanes.","True","False","","","2","Section 3.1, A, “Scanning for Hazards” states, “You need to know what is behind you at all times. It’s especially critical to check for vehicles and objects . . . [w]hen you are about to change lanes . . .  [w]hen you’re going in reverse . . . [w]hen you’re slowing down . . . [or] [w]hen you’re driving down a long or steep hill.” "
"89.","Drivers should check their rear and side-view mirrors every 10 seconds while driving.","True","False","","","2","Section 3.1, A, “Scanning for Hazards” states, “Check your rear and side-view mirrors every two to five seconds to get a complete picture of your surroundings while driving.”"
"90.","If a passenger is in the car, they can't help the driver navigate, as it will cause distraction.","True","False","","","2","Section 3.1, A, “Scanning for Hazards” states, “If a passenger is in your vehicle, let them help you navigate, so you do not become distracted by looking at a map, phone, or GPS device.”"
"91.","One in 28 Americans over 40 years old has low vision.","True","False","","","1","Section 3.1, B, “Effects of Aging on Perceptual Ability” states, “According to The Vision Council, one in 28 Americans ages 40 and over has low vision.”"
"92.","The risk of blindness and vision loss rapidly increases for individuals 75 years and older.","True","False","","","1","Section 3.1, B, “Effects of Aging on Perceptual Ability” states, “The CDC found that blindness and vision loss increase rapidly for individuals 75 and over.” "
"93.","Aging-related vision loss should not be a concern for mature drivers.","True","False","","","2","Section 3.1, B, “Effects of Aging on Perceptual Ability” states, “A significant concern with aging-related vision loss is how it affects mature drivers on the road.”"
"94.","Aging-related vision loss is one of the main reasons seniors might lose their ability to drive or have their driving privileges revoked.","True","False","","","1","Section 3.1, B, “Effects of Aging on Perceptual Ability” states, “A significant concern with aging-related vision loss is how it affects mature drivers on the road. It’s one of the main reasons seniors might drive with a restricted license, stop driving altogether, or have their driving privileges taken away.”"
"95.","Mature adults are not at higher risk of experiencing eye diseases as they age.","True","False","","","2","Section 3.1, B, “Effects of Aging on Perceptual Ability” states, “Mature adults are at higher risk of experiencing certain eye diseases as they age.”"
"96.","Loss of visual clarity is a side effect of aging and a result of the lens in the eye hardening.","True","False","","","1","Section 3.1, B, i, “Loss of Visual Clarity” states, “An inescapable side effect of aging is the loss of visual clarity over time. As you age, the lens in your eye begins to harden, causing the sharpness of your vision to dull.” "
"97.","Presbyopia is a common eye condition in aging humans that causes close-up objects to appear blurry or out of focus.","True","False","","","1","Section 3.1, B, i, “Loss of Visual Clarity” states, “As you age, the lens in your eye begins to harden, causing the sharpness of your vision to dull. That means close-up objects (like words in a book) can appear blurry or out of focus. This is a naturally occurring condition known as presbyopia, the most common eye condition in aging humans.” "
"98.","Corrective lenses can help refocus eyes and aid driving if you have presbyopia.","True","False","","","1","Section 3.1, B, i, “Loss of Visual Clarity” states, “If you have presbyopia, focusing on nearby objects, such as road hazards, road signs, and other vehicles, can be challenging without corrective lenses. Regular visits to an eye doctor can help track changes in your visual clarity over time. The doctor may prescribe lenses to help refocus your eyes and aid driving.”"
"99.","Loss of peripheral vision doesn’t affect your ability to drive safely.","True","False","","","2","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Loss of peripheral vision makes it more difficult to detect movement, hazards, and other vehicles when looking straight ahead. Poor peripheral vision can become a safety issue if you spend too much time compensating by looking from side to side.”"
"100.","If a doctor has prescribed corrective lenses, drivers don’t need to wear them every single time they operate a vehicle.","True","False","","","2","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “If a doctor has prescribed corrective lenses, wear them every time you operate a vehicle.”"
"101.","Avoiding driving in heavy rain, snow, or adverse weather conditions can help to compensate for the loss of visual clarity.","True","False","","","1","Section 3.1, B, i, “Loss of Visual Clarity” states, “[A] safe driving [choice] that can help compensate for the loss of visual clarity include[s] . . . Not driving in heavy rain, snow, or other adverse weather conditions.”"
"102.","Staying an extra car length or two back from the vehicle ahead of you helps to compensate for the loss of visual clarity.","True","False","","","1","Section 3.1, B, i, “Loss of Visual Clarity” states, “[A] safe driving [choice] that can help compensate for the loss of visual clarity include[s] . . . Staying an extra car length or two back from the vehicle ahead of you.”"
"103.","Diminished peripheral vision is a side effect of the natural aging process.","True","False","","","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Part of the natural aging process is a decline of the rods in the retina that are sensitive to light and dark changes. As a result, your peripheral vision weakens over time.”"
"104.","As you age, your peripheral field of vision increases.","True","False","","","2","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “As you age, your peripheral field of vision slowly narrows between one and three degrees each decade, eventually narrowing by up to 20-30 degrees by the time you reach 70 or 80. “"
"105.","Loss of peripheral vision makes it difficult to detect movement, hazards, and other vehicles.","True","False","","","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “That loss of peripheral vision makes it more difficult to detect movement, hazards, and other vehicles when looking straight ahead.”"
"106.","Spending too much time compensating for poor peripheral vision by looking from side to side can cause a safety issue.","True","False","","","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Poor peripheral vision can become a safety issue if you spend too much time compensating by looking from side to side.”"
"107.","Using hand and arm gestures to increase peripheral vision is a recommended safe driving choice.","True","False","","","2","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Some safe driving choices that can help compensate for diminished peripheral vision include: Installing additional “blind spot” mirrors if movement is constricted. Moving the eyes and head slightly and quickly to see movement and vehicles to the sides. Avoiding eyeglass frames with wide side pieces.”"
"108.","What should you do to prepare for a long-distance trip?","Plan the route only through GPS","Make sure the vehicle is in good operating condition","Familiarize yourself with the driving laws in the areas you’re traveling","Both B and C","4","Section 3.2, “Trip Planning” states, “For long-distance trips, it’s necessary to prepare in advance and take extra precautions . . .You must also ensure that your vehicle is in good operating condition for driving long distances . . . If you're driving out of state, you should familiarize yourself with driving laws in the areas where you’re traveling, so you’re aware of speed limits, passing laws, and other nuances.” "
"109.","It is necessary to be familiar with the driving laws in the areas you are traveling to.","True","False","","","1","Section 3.2, “Trip Planning” states, “If you're driving out of state, you should familiarize yourself with driving laws in the areas where you’re traveling, so you’re aware of speed limits, passing laws, and other nuances.” "
"110.","Certain times are safer for driving.","True","False","","","1","Section 3.2, “Trip Planning” states, “Certain times are safer for driving than others. Avoid driving from dusk to dawn if you are able. It’s a low visibility time, and you are likelier to become drowsy or let your mind wander.” "
"111.","What is the purpose of the two-second rule?","To determine if you're leaving early enough to get to your destination on time","To give you enough time to stop completely","To give you enough reaction time to slow down or make quick decisions","","3","Section 3.3, A, “The Two-Second Rule” states, “The two-second rule is aminimum distance between you and the car ahead of you. Two seconds does not give you enough time to stop entirely, but it does allow for enough reaction time if you need to slow down or make quick decisions.” "
"112.","When should you increase the two-second rule to the three-second rule?","When you are being tailgated","When your vision is blocked or poor","In inclement weather","All of the above","4","Section 3.3, B, i, “The Three-Second Rule” states, “A good time to increase your following distance is when . . . your vehicle is being tailgated (the vehicle behind you is following very closely) . . . When your vision is blocked or poor . . . When speed is increased . . . [Or] In inclement weather.”"
"113.","When is a three-second gap not enough to compensate for current driving conditions, and you should increase to a four-second gap instead?","When following a motorcycle","When carrying extra weight","When following a large vehicle or truck","All of the above","4","Section 3.3, B, ii, “The Four-Second Rule” states, “Some other instances where you should use the four-second gap include . . . When following a motorcycle . . . When carrying extra weight . . . [Or] When following a large vehicle or truck.” "
"114.","What are some tactics you can use when you are being tailgated?","Signal earlier than usual for turns, lane changes, or stops","Apply steady, slow pressure to stop gradually when braking","Travel the ""common speed"" to help the tailgater match pace and timing","All of the above","4","Section 3.3, C, “How to Deal with Tailgaters” states, “Here are some other tactics you can use when you are being tailgated: Signal earlier than usual for turns, lane changes, or stops so the driver behind you knows to anticipate the change . . . When braking, apply steady, slow pressure to stop gradually . . . [And] Travel the ‘common speed’ by matching pace and timing with the traffic around you.” "
"115.","What should you do if you come to a stop on a flat surface while being tailgated?","Take your foot off the brake pedal","Keep your foot on the brake pedal","Shift into neutral","","2","Section 3.3, C, “How to Deal with Tailgaters” states, “If you come to a stop on a flat surface, do not take your foot off the brake pedal, even if your car will stay in place. Your brake lights signal drivers in other vehicles that you are stopped. If you decompress the brake pedal, they may think you are moving forward and prematurely accelerate their vehicle.”"
"116.","The two-second rule is a minimum distance between you and the car ahead of you.","True","False","","","1","Section 3.3, A, “The Two-Second Rule” states, “The two-second rule is a minimum distance between you and the car ahead of you. Two seconds does not give you enough time to stop entirely, but it does allow for enough reaction time if you need to slow down or make quick decisions.” "
"117.","Increasing your following distance is a good idea when visibility is poor due to inclement weather.","True","False","","","1","Section 3.3, B, i, “The Three-Second Rule” states, “A good time to increase your following distance is . . In inclement weather. Heavy rain, snow, and high winds can cause visibility issues and affect road conditions, making roads more slick or uneven. Increasing your following distance can help you avoid a collision if your vehicle slips or skids on snow or ice.” "
"118.","The four-second rule is used to establish a safer boundary between you and the vehicle ahead.","True","False","","","1","Section 3.3, B, ii, “The Four-Second Rule” states, “When a two- or three-second gap is still not enough to compensate for current driving conditions, you may need to use the four-second rule to establish a safer boundary between you and the vehicle ahead. “ "
"119.","When following a city or school bus, it is okay to follow closely.","True","False","","","2","Section 3.3, B, ii, “The Four-Second Rule” states,“[Another instance] where you should use the four-second gap include[s] . . . When following a city or school bus.” "
"120.","When following a motorcycle, it is necessary to use the four-second rule.","True","False","","","1","Section 3.3, B, ii, “The Four-Second Rule” states,“[Another instance] where you should use the four-second gap include[s] . . . When following a motorcycle.” "
"121.","If a vehicle behind you is following too closely, you should apply sudden and fast pressure to the brake pedal to stop.","True","False","","","2","Section 3.3, C, “How to Deal with Tailgaters” states, “Here are some other tactics you can use when you are being tailgated: . . . When braking, apply steady, slow pressure to stop gradually.”"
"122.","Driving at the ""common speed"" means matching pace and timing with the traffic around you.","True","False","","","1","Section 3.3, C, “How to Deal with Tailgaters” states, “Travel the ‘common speed’ by matching pace and timing with the traffic around you.” "
"123.","The four-second rule is necessary when you are being passed.","True","False","","","1","Section 3.3, B, ii, “The Four-Second Rule” states,“Some other instances where you should use the four-second gap include . . . When you are being passed.” "
"124.","If you're hauling a trailer or boat, it will take you the same amount of time to slow down as when you're not hauling.","True","False","","","2","Section 3.3, B, ii, “The Four-Second Rule” states, “If you are hauling a trailer, boat, jet skis, or anything heavy that adds length to your vehicle, it will take you longer to slow down. Leave extra space to allow for any sudden speed changes.” "
"125.","If you're being tailgated, you should increase your following distance.","True","False","","","1","Section 3.3, C, “How to Deal with Tailgaters” states, “What if the vehicle behind you is following too closely? We’ve already talked about how you can use the three- and four-second gap rules to allow extra reaction time when a vehicle is following you too closely.” "
"126.","What is the total stopping distance of a vehicle?","Perception distance","Reaction distance","Braking distance","A combination of perception distance, reaction distance, and braking distance","4","Section 3.4, A, “Stopping Distance” states, “Your total stopping distance equals the minimum distance your vehicle will travel before you can bring it to a complete stop. This distance is a combination of your perception distance, reaction distance, and braking distance.”"
"127.","What is perception distance?","The distance your vehicle travels from when you see a hazard to the point your brain recognizes it","The distance your vehicle travels after you recognize a hazard but before you press the brakes","The distance your vehicle travels while you are braking","The distance you increase your following distance in response to other vehicles' limitations","1","Section 3.4, A, i, “Perception Distance” states, “Your perception distance is the distance your vehicle travels from when you see a hazard with your eyes to the point that your brain consciously recognizes the hazard.”"
"128.","What factors can influence perception distance?","Mental and/or physical health conditions of the driver","Medications taken by the driver","Visibility","All of the above","4","Section 3.4, A, i, “Perception Distance” states, “Factors that influence your perception distance include: . . . Visibility (often dependent on weather conditions) . . . The nature of the hazard . . . Medications taken by the driver . . . [And] Mental and/or physical health conditions affecting the driver.”"
"129.","What is an average driver's reaction time?","¾ second to 1 second","1 to 2 seconds","2 to 3 seconds","1.5 seconds","1","Section 3.4, A, ii, “Reaction Distance” states, “An average driver’s reaction time [is] ¾ second to 1 second.”"
"130.","What is reaction distance?","The distance your vehicle travels from when you see a hazard to the point your brain recognizes it","The distance your vehicle travels after you recognize a hazard but before you press the brakes","The distance your vehicle travels while you are braking","The distance you increase your following distance in response to other vehicles' limitations","2","Section 3.4, A, ii, “Reaction Distance” states, “Reaction distance refers to the distance your car will keep traveling after you recognize the hazard but before you press down on the brakes.”"
"131.","What is braking distance?","The distance your vehicle travels from when you see a hazard to the point your brain recognizes it","The distance your vehicle travels after you recognize a hazard but before you press the brakes","The distance your vehicle travels while you are braking","The distance you increase your following distance in response to other vehicles' limitations","3","Section 3.4, A, iii, “Braking Distance” states, “Braking distance describes how far your vehicle travels while you are in the process of braking.”"
"132.","What is the relationship between driving speed and stopping distance?","Driving speed has no effect on stopping distance","Faster driving speed decreases stopping distance","Faster driving speed increases stopping distance","Driving speed has an inverse relationship with stopping distance","3","Section 3.4, B, “Stopping Distance in Relation to Speed” states, “The faster you are driving, the greater your stopping distance.”"
"133.","What is the relationship between driving speed and the force of impact?","Driving speed has no effect on the force of impact","Driving speed decreases the force of impact","Driving speed increases the force of impact","Driving speed has an inverse relationship with the force of impact","3","Section 3.4, B, “Stopping Distance in Relation to Speed” states, “The faster you are driving, the greater your stopping distance and the greater the force of any impacts your car may experience.”"
"134.","What happens to the force of impact when you double your driving speed?","The force of impact decreases","The force of impact stays the same","The force of impact increases four times","The force of impact increases two times","3","Section 3.4, B, “Stopping Distance in Relation to Speed” states, “Driving twice as fast increases your braking distance and force of impact by four times.”"
"135.","What happens to the force of impact when you triple your driving speed?","The force of impact decreases","The force of impact stays the same","The force of impact increases nine times","The force of impact increases three times","3","Section 3.4, B, “Stopping Distance in Relation to Speed” states, “Driving three times as fast increases your braking distance and force of impact by nine times.”"
"136.","What happens to the force of impact when you quadruple your driving speed?","The force of impact decreases","The force of impact stays the same","The force of impact increases 16 times","The force of impact increases four times","3","Section 3.4, B, “Stopping Distance in Relation to Speed” states, “Driving four times as fast increases your braking distance and force of impact by 16 times.”"
"137.","In what conditions should you increase your following distance when following a motorcyclist?","When the roads are wet and slippery","When you are going over a metal surface, such as a bridge","When you are driving on a smooth road","Both A and B","4","Section 3.4, C, “Increasing Your Following Distance in Response to Other Vehicles’ Limitations” states, “If the roads are wet and slippery or covered in gravel, or you are going over a metal surface (e.g., a bridge), add extra distance when following a motorcyclist — they are at greater risk of falling in these conditions, and you’ll want to give them extra room to ensure that you don’t hit them with your car.”"
"138.","What is the minimum following distance required by Florida law when following a fire truck responding to an emergency?","300 feet","100 feet","500 feet","200 feet","3","Section 3.4, C, “Increasing Your Following Distance in Response to Other Vehicles’ Limitations” states, “Florida law prohibits following a fire truck responding to an emergency at a distance of less than 500 feet.”"
"139.","What is the definition of gap selection in driving?","Assessment drivers make when they watch approaching traffic and gauge it to decide if there is adequate space to complete a driving maneuver","Assessment drivers make when they watch their own driving behavior","Assessment drivers make when they watch the traffic laws","","1","Section 3.5, “Gap Selection Techniques” states, “The term gap selection refers to the assessment drivers make when they watch approaching traffic and gauge it to decide that there is adequate space to complete a driving maneuver, such as turning in an intersection with cross-traffic or entering a freeway.”"
"140.","What are the factors drivers need to judge when making a safe turn in an intersection with cross-traffic?","How long will it take to complete the turn","How quickly oncoming traffic is traveling","How much space there is between oncoming vehicles","All of the above","4","Section 3.5, A, “Gap Selection While Crossing and Turning” states, “To turn safely in an intersection with cross-traffic, you need to wait for a gap in traffic that will allow you to maneuver safely. You need to be able to judge the following: How long will it take you to complete the turn? How fast is oncoming traffic traveling? How much space is between oncoming vehicles?”"
"141.","What is the purpose of an acceleration lane when entering a freeway?","To help drivers speed up before entering the flow of traffic on the freeway","To help drivers slow down before entering the flow of traffic on the freeway","To avoid merging with the flow of traffic on the freeway","","1","Section 3.5, B, “Gap Selection While Entering the Freeway” states, “An acceleration lane is an extra entrance lane that helps you speed up before entering the flow of traffic on the freeway.”"
"142.","What should drivers do after seeing a gap in traffic that allows them to safely merge to the left on a freeway?","Turn their signal on to alert others of their intent to merge","Stop and wait for a better gap in traffic","Adjust your speed to match that of the vehicles in front of and behind you","Both A and C","4","Section 3.5, B, “Gap Selection While Entering the Freeway” states, “When you see a gap in traffic that allows you to safely merge to the left, turn your signal on to alert others of your intent to merge and adjust your speed to match the vehicles in front of and behind you.” "
"143.","It is important to be familiar with freeway entrance signs before entering a freeway.","True","False","","","1","Section 3.5, B, “Gap Selection While Entering the Freeway” states,“Be familiar with freeway entrance signs, and ensure you are in the correct lane to enter a freeway.” "
"144.","What should you do if you encounter deep water on the roadway?","Drive through it","Get off the road if you can safely do so","Speed up","","2","Section 3.6, A, iii, “Driving Through Deep Water” states, “Avoid driving through standing water whenever possible. If you see any on the roadway, get off the road if you can safely do so.”"
"145.","Why is the first half hour of rainfall considered the most dangerous?","The rain mixes with oil and other chemicals that make the road slick","The rain washes away the oil and chemicals","The rain makes roads dry","","1","Section 3.6, A, i, “Speed and Maintenance” states, ""The first half hour of rainfall is the most dangerous because the water mixes with oil and other chemicals that make roads slick. It’s safer once the rain has had time to wash away the oil and chemicals.”"
"146.","How should you adjust your speed during rain?","Drive 5-10 mph faster than the speed limit","Drive at the same speed as the speed limit","Drive 5-10 mph slower than the speed limit","","3","Section 3.6, A, i, “Speed and Maintenance” states, “Drive at least 5-10 mph slower than the speed limit during rain to avoid sliding and account for rain distorting your vision.”"
"147.","Why should you turn on your low-beam lights in inclement weather?","To help other drivers see you","To help you see the road better","To save energy","","1","Section 3.6, A, i, “Speed and Maintenance” states, “Turn on your low-beam lights in inclement weather to help other drivers see you.” "
"148.","What should you do if you hydroplane?","Brake","Accelerate","Ease off both pedals and look for a clearing in traffic to steer toward","Panic","3","Section 3.6, A,iv, “What to Do If You Hydroplane” states, “[Hydroplaning] can be sudden and scary, but you mustn’t panic. Remember that the best way to handle the situation is to avoid braking or accelerating . . . Instead, ease off both pedals and look for a clearing or open space in traffic you can steer toward to help avoid hitting anything or anyone around you.” "
"149.","Why is it difficult to judge distances when using your high beams while driving in heavy fog?","Fog is reflective and makes it difficult to see objects nearby and far away","Fog is not reflective","Fog enhances visibility","","1","Section 3.6, B, “Driving Through Fog” states, “Fog can severely impact visibility, creating extra glare from lights and making it difficult to see objects nearby and far away. Fog is reflective, making it difficult to judge distances if you try to use your high beams to see more clearly.”"
"150.","You should avoid using your cruise control when driving in heavy fog.","True","False","","","1","Section 3.6, B, “Driving Through Fog” states,“There are several precautions you should take when driving in heavy fog, including . . . Avoiding using your cruise control.” "
"151.","When should you add fog lights to your car?","When you live in an area where fog regularly occurs","When you never drive in fog","When you have never experienced fog before","","1","Section 3.6, B, “Driving Through Fog” states, “If you live in an area where fog regularly occurs (especially in the mornings or evenings), consider adding fog lights to your car.”"
"152.","When driving in rain or snow, you should try to follow the tracks of the vehicle ahead of you.","True","False","","","1","Section 3.6, B, ii, “Staying on the Roadway” states,“ Try to follow the tracks of the vehicle ahead of you when driving in rain or snow.” "
"153.","Fog lights come standard on all vehicles.","True","False","","","2","Section 3.6, B, “Driving Through Fog” states, “Fog lights do not come standard on all vehicles.”"
"154.","Why is it important to avoid driving in areas with active flood warnings?","To avoid getting stuck or being carried away by floodwaters","To save time","To avoid getting lost","","1","Section 3.6, A, iii, “Driving Through Deep Water” states, “Floodwaters can cause your car to get stuck or even be carried away.” "
"155.","What is one of the reasons why it is unsafe to drive through deep water?","It can make your car lighter","It can damage your engine and cause it to stall","None of the above","","2","Section 3.6, A, iii, “Driving Through Deep Water” states, “It’s incredibly unsafe to drive through deep water — water can get into your vehicle's engine and cause it to stall.” "
"156.","What is hydroplaning?","When water gets between your tires and the road and causes your vehicle to lose contact with the road surface","When your tires are in contact with the road surface","When you have low visibility during rainy weather","","1","Section 3.6, A, iv, “What to Do If You Hydroplane” states, “Hydroplaning happens when water gets between your tires and the road and causes your vehicle to lose contact with the road surface.” "
"157.","How long does hydroplaning usually last?","One minute","A few seconds","Several hours","","2","Section 3.6, A, iv, “What to Do If You Hydroplane” states, “It usually lasts for a few seconds but can last longer.” "
"158.","What should you use to see more clearly when driving in heavy fog?","High beams","Low beams or fog lights","Hazard lights","","2","Section 3.6, B, “Driving Through Fog” states, “Fog is reflective, making it difficult to judge distances if you try to use your high beams to see more clearly. Instead, use your low beams (or fog lights, if you have them).”"
"159.","What should you leave between your vehicle and other vehicles around you in poor weather conditions?","A smaller space cushion","A larger space cushion","No space cushion","","2","Section 3.6, B, ii, “Staying on the Roadway” states,“ Increase your space cushion, leaving more room between your vehicle and the other vehicles around you. This allows for more time and space if you or another vehicle takes emergency corrective action in poor conditions. “ "
"160.","If you see standing water on the roadway, you should drive through it.","True","False","","","2","Section 3.6, A, iii, “Driving Through Deep Water” states, “Avoid driving through standing water whenever possible. If you see any on the roadway, get off the road if you can safely do so.” "
"161.","What should you do in inclement weather to make it easier for other drivers to see you?","Use your high beams","Turn off your lights","Turn on your low-beam lights","Use your hazard lights","3","Section 3.6, A, i, “Speed and Maintenance” states, “Turn on your low-beam lights in inclement weather to help other drivers see you.” "
"162.","What should you do when the roads are slippery due to rain?","Drive at the speed limit","Drive faster than the speed limit","Drive 5-10 mph slower than the speed limit","Drive the same speed as in dry weather conditions","3","Section 3.6, A, i, “Speed and Maintenance” states, “Drive at least 5-10 mph slower than the speed limit during rain to avoid sliding and account for rain distorting your vision.” "
"163.","Which of the following should you do when driving through heavy rain?","Try to pass other vehicles","Leave plenty of space between your vehicle and other vehicles","Suddenly change lanes","","2","Section 3.3, B, i, “The Three-Second Rule” states, “Heavy rain, snow, and high winds can cause visibility issues and affect road conditions, making roads more slick or uneven. Increasing your following distance can help you avoid a collision if your vehicle slips or skids on snow or ice.” "
"164.","What should a driver do if a traffic signal is not functioning in Florida?","Stop and turn without yielding","Stop as for a four-way stop sign","Ignore the malfunctioning signal","","2","Section 3.9, C, “Right of Way” states, “The State of Florida website advises that you should ‘stop as you would for a four-way stop sign’ if a traffic signal is not functioning correctly. This means that all vehicles must come to a complete stop before turning, regardless of whether the lights are flashing yellow.”"
"165.","What can happen if you drive through deep water?","Your engine may stall","You may hydroplane","Your vehicle could be carried away by the floodwaters","All of the above","4","Section 3.6, A, iii, “Driving Through Deep Water” states, “It’s incredibly unsafe to drive through deep water — water can get into your vehicle's engine and cause it to stall. Submerging any part of your vehicle in water can also cause electrical damage. It's easy to lose control of your vehicle when driving through standing water. Floodwaters can cause your car to get stuck or even be carried away.” "
"166.","What should you do if you hydroplane?","Brake","Ease off both pedals and look for a clearing/open space in traffic","Drive faster","","2","Section 3.6, A,iv, “What to Do If You Hydroplane” states, “ Ease off both pedals and look for a clearing or open space in traffic you can steer toward to help avoid hitting anything or anyone around you.“ "
"167.","What should you do if you experience a tire blowout while driving?","Steer towards the blown-out tire","Keep a firm grip on the steering wheel and steer away from the blown-out tire","Quickly apply the brakes","All of the above","2","Section 3.7, A, “Tire Blowout” states, “If you have a tire blowout while driving, keep a firm grip on the steering wheel. The blown-out tire will pull the vehicle in its direction. Try to steer away from the blown-out tire for more control. ” "
"168.","In addition to using your anti-lock braking system, if your vehicle has it, what are some other actions you should take if your brakes fail while driving?","Downshift to second or third gear","Slowly apply the parking/emergency brake","Use emergency lights to warn other drivers of the emergency","All of the above","4","Section 3.7, B, “Brake Failure” states, “Other actions to take if your brakes fail include: Downshifting to the second or third gear if you are going down a steep hill . . . Slowly applying your parking/emergency brake . . . [And] Using your emergency lights to warn other drivers of your emergency.” "
