"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"51.","Increasing their driving speed from 60 to 80 miles per hour makes a driver four times more likely to get into a fatal car crash.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Increasing your driving speed from 60 to 80 miles per hour makes you four times more likely to get into a fatal car crash.” "
"52.","Every 10-mph increase in driving speed doubles one’s risk of dying in a car crash.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Every 10-mph increase in driving speed doubles one’s risk of dying in a car crash.” "
"53.","The likelihood of a pedestrian being killed by a collision is 75 percent at 50 miles per hour.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “The likelihood of a pedestrian being killed by a collision is only 10 percent at 23 miles per hour, but 75 percent at 50 miles per hour.” "
"54.","It is 31 percent riskier to drive at a speed of 80 mph when surrounding traffic is going 70 mph.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “It’s especially dangerous to speed faster than surrounding traffic. If you’re driving 80 miles per hour and surrounding traffic is going 70 miles per hour, you increase your risk of a crash by 31 percent.” "
"55.","What is the most common injury caused by rear-end collisions?","Fractured bones","Whiplash","Bruising","","2","Section 2.3, A, i, “Rear Collision” states, “The most common injury caused by rear-end collisions [is] whiplash, an injury to the neck and occasionally the brain, which occurs when the head is thrown backward suddenly.”"
"56.","To reduce the force of a rear-end collision, you should brake immediately.","True","False","","","2","Section 2.3, A, i, “Rear Collision” states, “If you are about to be rear-ended, . . . [and] you’re driving forward, don’t brake immediately; try braking gradually or after the impact. This will reduce the force acting on your body because you and the vehicle hitting yours will be moving in the same direction during the impact.” "
"57.","What can you do to prevent whiplash from a rear-end collision if you are already at a stop?","Turn your head away from the impact","Plant your foot on the brake and head against the headrest","Duck under the dashboard","None of the above","2","Section 2.3, A, i, “Rear Collision” states, “If you are about to be rear-ended . . . [and] you’re already at a stop (parked or stopped at a light), plant your foot on the brake and your head against the headrest.”"
"58.","What is the most common location for side collisions to occur?","On the highway","At intersections","In a parking lot","On a rural road","2","Section 2.3, A, ii, “Side Collision” states, “Side collisions happen most often at intersections.”"
"59.","To reduce injury in a side collision, you should steer your car so it is hit from the side closest to the driver.","True","False","","","2","Section 2.3, A, ii, “Side Collision” states, “Try to steer your car so it is hit from the rear or another area where there are no passengers. Although your car will probably still be damaged, this strategy can help reduce injuries to passengers and yourself.” "
"60.","How can you brace yourself in a side collision?","Turn your body away from the impact","Use the steering wheel to brace yourself","Put your arms over your head","None of the above","2","Section 2.3, A, ii, “Side Collision” states, “Use the steering wheel to brace yourself. You now know that Newton’s first law (the law of inertia) means a side collision will send your body sideways. Bracing against the steering wheel can lessen this effect.”"
"61.","What should you do if you are about to have a head-on collision?","Freeze up and do nothing","Slow down immediately and do your best to turn your car toward the right","Turn your car toward the left","None of the above","2","Section 2.3, A, iii, “Head-on Collision” states, “If there’s a vehicle driving directly toward you, slow down immediately. As you know, accidents at higher speeds can cause more damage than at lower speeds. Do your best to turn your car toward the right if doing so is possible and relatively safe.”"
"62.","Head-on collisions are more likely to cause facial injuries than other types of collisions.","True","False","","","1","Section 2.3, A, iii, “Head-on Collision” states, “Head-on collisions are more likely to cause facial injuries due to broken glass from the windshield.” "
"63.","What can help prevent facial injuries in a head-on collision?","Airbags","Seat belts","Both airbags and seat belts","None of the above","3","Section 2.3, A, iii, “Head-on Collision” states, “Both airbags and seat belts can help prevent these kinds of facial injuries, so make sure to have them installed in your vehicle. One study showed that seat belts with shoulder straps reduced facial injuries by 18 percent and airbags by 43 percent. A combination of seat belts and airbags reduced the likelihood of severe facial injury by more than half.”"
"64.","Smaller and lighter vehicles protect their passengers more effectively than larger and heavier vehicles in crashes.","True","False","","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “In general, larger and heavier cars protect their own passengers from injury during crashes more effectively than smaller and lighter vehicles.” "
"65.","Why are larger vehicles safer than smaller vehicles in crashes?","They have longer front ends to absorb energy from frontal crashes","They are heavier and will continue to move forward in a crash with a smaller obstacle","They are lighter and will not continue to move forward in a crash with a smaller obstacle","Both A and B","4","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Larger vehicles have longer front ends (more space between the front of the vehicle and the occupant compartment), which leaves them with more space to crumple up and absorb energy from frontal crashes . . . Second, a heavier vehicle will most often continue to move forward in a crash with a lighter vehicle or smaller obstacles. This protects its passengers from exposure to more force that would otherwise cause injuries.”"
"66.","About what percentage of Americans admit to going more than 15 mph over the speed limit in the previous month?","10%","25%","50%","75%","3","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “About half of Americans admit to going more than 15 miles per hour over the speed limit in the previous month.”"
"67.","What percentage of passenger vehicle occupant deaths are due to frontal crashes?","Less than 50%","More than 50%","Less than 15%","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Frontal crashes ‘account for more than half of passenger vehicle occupant deaths.’”"
"68.","Vehicles of all sizes are less safe than they were a few decades ago.","True","False","","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Vehicles of all sizes are safer than they were a few decades ago, thanks to improvements in crash protection technology.” "
"69.","According to the IIHS, lighter vehicles are always at a disadvantage in collisions with heavier vehicles.","True","False","","","1","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Those riding in larger vehicles still have a safety advantage over those in smaller ones. The IIHS concludes that ‘a lighter vehicle will always be at a disadvantage in a collision with a heavier vehicle.’” "
"70.","Because automakers have lowered large cars' energy-absorbing structures, large cars like SUVs and pickup trucks are now more hazardous for drivers of smaller cars than they used to be.","True","False","","","2","Section 2.3, B, “Energy Absorption and Safety by Vehicle Design” states, “Because automakers have lowered large cars’ energy-absorbing structures, large cars like SUVs and pickup trucks are less hazardous for drivers of smaller cars than they used to be.” "
"71.","By what percentage does every 1% increase in driving speed increase the chance of getting in an accident?","1%","2%","5%","10%","2","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Every 1 percent increase in driving speed increases a driver’s chance of an accident by 2 percent.”"
